Sl no.,GSTIN/UIN of Customer,Name of the Customer,Invoice No.,Is Memo,Invoice Date,Invoice Val,HSN,Product Name,Taxable Val,SGST/UTGST Rate,SGST/UTGST(Rs), CGST Rate,CGST(Rs),IGST Rate,IGST(Rs),CESS Rate,CESS(Rs),ADDITIONAL CESS Rate,ADDITIONAL CESS(Rs),Pos(State Code),UOM,QTY,RATE,Payment Mode
122,,,4121025042,0,01-03-2022,80,,Rite Bite Max Protean Cookies Oats & Raisins 55 Gm,33.9,9.00%,3.05,9.00%,3.05,-,-,-,-,-,-,27,PC,1,40,Cash
123,,,4121025043,0,01-03-2022,124,210690,Sumeru Fries Peri Peri 400 gm,110.72,6.00%,6.64,6.00%,6.64,-,-,-,-,-,-,27,PC,1,124,Cash
124,,Dunzo,4121025044,0,01-03-2022,550,205,Venkeys Chicken Samosa 200 Gms,160.72,6.00%,9.64,6.00%,9.64,-,-,-,-,-,-,27,PC,1,180,Cash
125,,Dunzo,4121025044,0,01-03-2022,550,,Venky's Chicjen Hariyali Tikka300gm,205,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,205,Cash
126,,Dunzo,4121025044,0,01-03-2022,550,,Zorabian Chicken Shami Kebab 250 Gm,147.34,6.00%,8.83,6.00%,8.83,-,-,-,-,-,-,27,PC,1,165,Cash
127,,,4121025045,0,01-03-2022,285,,kerla tapicoa,65,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,65,Cash
128,,,4121025045,0,01-03-2022,285,,Kerala Barbecue Banana Chips 250 Gm,138.1,2.50%,3.45,2.50%,3.45,-,-,-,-,-,-,27,PC,1,145,Cash
129,,,4121025045,0,01-03-2022,285,,Olezz Cheese Choco,63.56,9.00%,5.72,9.00%,5.72,-,-,-,-,-,-,27,PC,1,75,Cash
130,,,4121025046,0,01-03-2022,573,1902,Samyang Raman Kimchi Noodle 120 gm,98.22,6.00%,5.89,6.00%,5.89,-,-,-,-,-,-,27,PC,1,110,Cash
131,,,4121025046,0,01-03-2022,573,,toblerone,185,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,185,Cash
132,,,4121025046,0,01-03-2022,573,,Nongshim Kimchi,97.34,6.00%,5.83,6.00%,5.83,-,-,-,-,-,-,27,PC,1,109,Cash
133,,,4121025046,0,01-03-2022,573,3307,meiji Yan Yan  Creamy Chocolate 57 gm,84.76,9.00%,7.62,9.00%,7.62,-,-,-,-,-,-,27,PC,1,100,Cash
134,,,4121025046,0,01-03-2022,573,,Artisna Lychee Juice,61.62,6.00%,3.69,6.00%,3.69,-,-,-,-,-,-,27,PC,1,69,Cash
135,,Dunzo,4121025047,0,01-03-2022,30,403,Milky Mist Farm Fresh Curd 200 Gms,26.8,6.00%,1.6,6.00%,1.6,-,-,-,-,-,-,27,PC,1,30,Cash
136,,,4121025048,0,01-03-2022,20,2201,Kinley Packaged Drinking Water 1 Ltr,16.96,9.00%,1.52,9.00%,1.52,-,-,-,-,-,-,27,PC,1,20,Cash
137,,,4121025049,0,01-03-2022,50,2106,Lite N Fit Diet Chips 90 gm,44.66,6.00%,2.67,6.00%,2.67,-,-,-,-,-,-,27,PC,1,50,Cash
138,,Dunzo,4121025050,0,01-03-2022,840,22029990,Raw Coconut Water (AMB) 200 Ml,321.44,6.00%,19.28,6.00%,19.28,-,-,-,-,-,-,27,PC,6,60,Cash
139,,Dunzo,4121025050,0,01-03-2022,840,,Raw Cold Coffee Milk Shake 200 ml,428.58,6.00%,25.71,6.00%,25.71,-,-,-,-,-,-,27,PC,6,80,Cash
140,,,4121025051,0,01-03-2022,735,,Ice Breakers Strawberry,230,0.00%,0,0.00%,0,-,-,-,-,-,-,27,PC,1,230,Cash
